release_year,album_type,album_name,track_name,bpm,number_of_streams,total_time_played,total_time_played_h,average_ms_played,average_ms_played_min,song_length_min,avg_percent_song_played
2025,Mixtape,Mixtape - DominATE,Burnin' Tires (Changbin and I.N),150,435,72712226,20:11:52,167154.54,2:47,2:53,97
2025,Mixtape,Mixtape - DominATE,CINEMA (Lee Know and Seungmin),144,430,93093061,25:51:33,216495.49,3:36,3:41,98
2025,Mixtape,Mixtape - DominATE,ESCAPE (Bang Chan and Hyunjin),154,435,81726831,22:42:07,187877.77,3:08,3:11,98
2025,Mixtape,Mixtape - DominATE,GIANT (Korean Ver.),85,99,16674036,4:37:54,168424.61,2:48,2:53,97
2025,Mixtape,Mixtape - DominATE,Truman (HAN and Felix),155,454,83091780,23:04:52,183021.54,3:03,3:15,94
2025,Remix,CEREMONY (Celebrate Remixes),CEREMONY (Festival Version - English Version),128,41,6658942,1:50:59,162413.22,2:42,2:52,94
2025,Remix,CEREMONY (Celebrate Remixes),CEREMONY (Hip Hip Version - English Version),140,47,6652097,1:50:52,141533.98,2:22,2:37,90
2025,Remix,CEREMONY (Celebrate Remixes),CEREMONY (Hooray Version - English Version),125,42,7551148,2:05:51,179789.24,3:00,3:04,98
2025,Remix,CEREMONY (Maximum Power Remixes),CEREMONY (Instrumental),121,42,6560288,1:49:20,156197.33,2:36,2:44,95
2025,Remix,CEREMONY (Maximum Power Remixes),CEREMONY (KARMA Version),138,40,6677536,1:51:18,166938.40,2:47,2:51,98
2025,Remix,CEREMONY (Maximum Power Remixes),CEREMONY (Slowed Down Version),108,40,7010881,1:56:51,175272.03,2:55,3:03,96
2025,Remix,CEREMONY (Maximum Power Remixes),CEREMONY (Sped Up Version),143,41,5416952,1:30:17,132120.78,2:12,2:18,96
2025,Remix,Do It (Remixes),Do It (Instrumental),105,33,5244792,1:27:25,158933.09,2:39,2:39,100
2025,Remix,Do It (Remixes),Do It (Overdrive Version),105,35,5345616,1:29:06,152731.89,2:33,2:37,97
2025,Remix,Do It (Remixes),Do It (Slowed Down),97,35,5778303,1:36:18,165094.37,2:45,2:52,96
2025,Remix,Do It (Remixes),Do It (Sped Up),127,35,4480620,1:14:41,128017.71,2:08,2:11,98
2025,Remix,Do It (Remixes),Do It (Turbo Version),111,35,5111650,1:25:12,146047.14,2:26,2:30,97
2025,Single,In The Dark (with Stray Kids),In The Dark (with Stray Kids),174,77,13814014,3:50:14,179402.78,2:59,2:59,100
2025,Soundtrack,Genie Make a Wish (Soundtrack from the Netflix Series),GENIE,135,49,10220716,2:50:21,208586.04,3:29,3:33,98
2025,Soundtrack,ReawakeR (feat. Felix of Stray Kids),ReawakeR (feat. Felix of Stray Kids),129,48,7385165,2:03:05,153857.60,2:34,3:04,84
2025,Soundtrack,Resident Playbook Pt.1 (Original Soundtrack),START!,107,48,9756721,2:42:37,203265.02,3:23,3:46,90
2025,Soundtrack,Resident Playbook Pt.1 (Original Soundtrack),START! - Instrumental,107,39,8624195,2:23:44,221133.21,3:41,3:46,98
2025,Soundtrack,The potato lab Pt.1 (Original Soundtrack),My Destiny,110,40,8988197,2:29:48,224704.93,3:45,3:50,98
2025,Soundtrack,The potato lab Pt.1 (Original Soundtrack),My Destiny - Instrumental,110,40,8764780,2:26:05,219119.50,3:39,3:50,95
2025,Soundtrack,Typhoon Family Pt.3 (Original Soundtrack),Updraft,130,56,10178939,2:49:39,181766.77,3:02,3:02,100
